city ;lat;long ;country;population
stockholm;59.3294;18.0686;Sweden;972647
goeteborg;57.6717;11.9810;Sweden;600473
malmoe;55.5932;13.0214;Sweden;321845
uppsala;59.8498;17.6389;Sweden;164535
vaesteraas;59.6173;16.5422;Sweden;127799
oerebro;59.2669;15.1965;Sweden;125817
linkoeping;58.4094;15.6257;Sweden;114582
helsingborg;56.0424;12.7210;Sweden;112496
joenkoeping;57.7713;14.1650;Sweden;89780
umeaa;63.8285;20.2706;Sweden;89607
norrkoeping;58.5954;16.1787;Sweden;88639
karlstad;59.3671;13.4999;Sweden;74141
sundsvall;62.4001;17.3167;Sweden;73389
gaevle;60.6670;17.1666;Sweden;68635
boraas;57.7304;12.9200;Sweden;65008
vaexjoe;56.8837;14.8167;Sweden;59600
halmstad;56.6718;12.8556;Sweden;55657
luleaa;65.5838;22.1915;Sweden;48749
oestersund;63.1833;14.6500;Sweden;46178
trollhaettan;58.2671;12.3000;Sweden;44543
kalmar;56.6694;16.3218;Sweden;41110
borlaenge;60.4833;15.4167;Sweden;39422
moelndal;57.6542;12.0139;Sweden;37233
falun;60.6130;15.6470;Sweden;36477
karlskrona;56.2030;15.2960;Sweden;35212
nykoeping;58.7582;17.0185;Sweden;33546
kristianstad;56.0337;14.1333;Sweden;32188
skellefteaa;64.7721;20.9500;Sweden;31311
oernskoeldsvik;63.3180;18.7167;Sweden;27749
visby;57.6290;18.3071;Sweden;24693
huskvarna;57.7919;14.2756;Sweden;22000
vaenersborg;58.3630;12.3300;Sweden;21835
haernoesand;62.6323;17.9379;Sweden;18624
kiruna;67.8500;20.2166;Sweden;18154
hoeganaes;56.1960;12.5769;Sweden;15795
kinna;57.4954;12.6805;Sweden;15373
mariestad;58.7050;13.8280;Sweden;14891
mjoelby;58.3321;15.1312;Sweden;13914
bollnaes;61.3520;16.3666;Sweden;13398
mora;61.0096;14.5635;Sweden;12858
ulricehamn;57.7917;13.4186;Sweden;11443
tibro;58.4190;14.1580;Sweden;8572
habo;57.9066;14.0856;Sweden;8455
tidaholm;58.1794;13.9599;Sweden;8233
stroemstad;58.9441;11.1864;Sweden;7355
haparanda;65.8342;24.1170;Sweden;6642
hjo;58.3044;14.2786;Sweden;6351
kungsoer;59.4227;16.1059;Sweden;5898
vaargaarda;58.0341;12.8083;Sweden;5735
hjaerup;55.6707;13.1410;Sweden;5607
toereboda;58.7020;14.1184;Sweden;4691
herrljunga;58.0752;13.0238;Sweden;4126
kisa;57.9857;15.6305;Sweden;3813
karlsborg;58.5268;14.5231;Sweden;3761
svenljunga;57.4960;13.1102;Sweden;3730
tranemo;57.4838;13.3587;Sweden;3375
aare;63.3938;12.9351;Sweden;3282
glumsloev;55.9425;12.8079;Sweden;2270
oevertorneaa;66.3881;23.6436;Sweden;1781
gullspaang;58.9862;14.0956;Sweden;1594
hortlax;65.2819;21.4054;Sweden;1098
sparreholm;59.0736;16.8234;Sweden;725
grangaerde;60.2667;14.9833;Sweden;351
sundbyberg;59.3667;17.9667;Sweden;50564
solna;59.3667;18.0167;Sweden;80950
lund;55.7000;13.1833;Sweden;91940
